Task 1,open,2023-09-20T10:00:00Z,2023-09-20T10:00:00Z
Task 2,inprogress,2023-09-20T11:30:00Z,2023-09-20T11:30:00Z
Task 3,completed,2023-09-20T14:15:00Z,2023-09-20T14:15:00Z
Task 4,open,2023-09-20T16:45:00Z,2023-09-20T16:45:00Z
Task 5,inprogress,2023-09-20T09:20:00Z,2023-09-20T09:20:00Z
Task 6,completed,2023-09-21T12:00:00Z,2023-09-21T12:00:00Z
Task 7,open,2023-09-21T14:30:00Z,2023-09-21T14:30:00Z
Task 8,inprogress,2023-09-21T17:45:00Z,2023-09-21T17:45:00Z
Task 9,completed,2023-09-22T10:30:00Z,2023-09-22T10:30:00Z
Task 10,open,2023-09-22T11:45:00Z,2023-09-22T11:45:00Z
Task 11,inprogress,2023-09-22T13:15:00Z,2023-09-22T13:15:00Z
Task 12,completed,2023-09-22T15:30:00Z,2023-09-22T15:30:00Z
Task 13,open,2023-09-23T09:00:00Z,2023-09-23T09:00:00Z
Task 14,inprogress,2023-09-23T10:30:00Z,2023-09-23T10:30:00Z
Task 15,completed,2023-09-23T12:45:00Z,2023-09-23T12:45:00Z
Task 16,open,2023-09-23T14:00:00Z,2023-09-23T14:00:00Z
Task 17,inprogress,2023-09-23T16:15:00Z,2023-09-23T16:15:00Z
Task 18,completed,2023-09-24T09:30:00Z,2023-09-24T09:30:00Z
Task 19,open,2023-09-24T11:00:00Z,2023-09-24T11:00:00Z
Task 20,inprogress,2023-09-24T13:30:00Z,2023-09-24T13:30:00Z
Task 21,completed,2023-09-24T15:45:00Z,2023-09-24T15:45:00Z
Task 22,open,2023-09-25T10:00:00Z,2023-09-25T10:00:00Z
Task 23,inprogress,2023-09-25T11:30:00Z,2023-09-25T11:30:00Z
Task 24,completed,2023-09-25T14:15:00Z,2023-09-25T14:15:00Z
Task 25,open,2023-09-25T16:45:00Z,2023-09-25T16:45:00Z
Task 26,inprogress,2023-09-25T09:20:00Z,2023-09-25T09:20:00Z
Task 27,completed,2023-09-26T12:00:00Z,2023-09-26T12:00:00Z
Task 28,open,2023-09-26T14:30:00Z,2023-09-26T14:30:00Z
Task 29,inprogress,2023-09-26T17:45:00Z,2023-09-26T17:45:00Z
Task 30,completed,2023-09-27T10:30:00Z,2023-09-27T10:30:00Z
Task 31,open,2023-09-27T11:45:00Z,2023-09-27T11:45:00Z
Task 32,inprogress,2023-09-27T13:15:00Z,2023-09-27T13:15:00Z
Task 33,completed,2023-09-27T15:30:00Z,2023-09-27T15:30:00Z
Task 34,open,2023-09-28T09:00:00Z,2023-09-28T09:00:00Z
Task 35,inprogress,2023-09-28T10:30:00Z,2023-09-28T10:30:00Z
Task 36,completed,2023-09-28T12:45:00Z,2023-09-28T12:45:00Z
Task 37,open,2023-09-28T14:00:00Z,2023-09-28T14:00:00Z
Task 38,inprogress,2023-09-28T16:15:00Z,2023-09-28T16:15:00Z
Task 39,completed,2023-09-29T09:30:00Z,2023-09-29T09:30:00Z
Task 40,open,2023-09-29T11:00:00Z,2023-09-29T11:00:00Z
Task 41,inprogress,2023-09-29T13:30:00Z,2023-09-29T13:30:00Z
Task 42,completed,2023-09-29T15:45:00Z,2023-09-29T15:45:00Z
Task 43,open,2023-09-30T10:00:00Z,2023-09-30T10:00:00Z
Task 44,inprogress,2023-09-30T11:30:00Z,2023-09-30T11:30:00Z
Task 45,completed,2023-09-30T14:15:00Z,2023-09-30T14:15:00Z
Task 46,open,2023-09-30T16:45:00Z,2023-09-30T16:45:00Z
Task 47,inprogress,2023-09-30T09:20:00Z,2023-09-30T09:20:00Z
Task 48,completed,2023-10-01T12:00:00Z,2023-10-01T12:00:00Z
Task 49,open,2023-10-01T14:30:00Z,2023-10-01T14:30:00Z
Task 50,inprogress,2023-10-01T17:45:00Z,2023-10-01T17:45:00Z
Task 51,completed,2023-10-02T10:30:00Z,2023-10-02T10:30:00Z
Task 52,open,2023-10-02T11:45:00Z,2023-10-02T11:45:00Z
Task 53,inprogress,2023-10-02T13:15:00Z,2023-10-02T13:15:00Z
Task 54,completed,2023-10-02T15:30:00Z,2023-10-02T15:30:00Z
Task 55,open,2023-10-03T09:00:00Z,2023-10-03T09:00:00Z
Task 56,inprogress,2023-10-03T10:30:00Z,2023-10-03T10:30:00Z
